# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
trade_number,group,class,reason,mods,table,mod,pob_description,export_numbers,capture_categories,export_string
3887484120,local_maximum_life_+%_if_item_corrupted,reproduced,,1,ModSynthesis,SynthesisImplicitIncreasedLifeCorruptedItem1,(6-8)% increased maximum Life if Corrupted,3887484120,implicit,{0}% increased maximum Life if Corrupted
3888064854,chance_to_ignite_%_while_using_flask,reproduced,,1,ModItemExclusive,IgniteChanceWhileUsingFlaskUniqueBelt9a,(20-30)% chance to Ignite during any Flask Effect,3888064854,explicit,{0}% chance to Ignite during any Flask Effect
3888707953,chance_to_gain_tukohamas_embrace_%_on_kill,reproduced,,1,ModItemExclusive,TukohamasEmbraceOnKillUnique__1,10% chance to Trigger Summon Spirit of Akoya on Kill,3888707953,explicit,{0}% chance to Trigger Summon Spirit of Akoya on Kill
3890287045,cannot_block_while_no_energy_shield,reproduced,,1,ModItemExclusive,CannotBlockWithNoEnergyShieldUnique__1,Cannot Block while you have no Energy Shield,3890287045,explicit,Cannot Block while you have no Energy Shield
3892608176,local_display_trigger_level_x_intimidating_cry_when_you_lose_cats_stealth,reproduced,,2,ModItemExclusive,CatsStealthTriggeredIntimidatingCry,Trigger Level 20 Intimidating Cry when you lose Cat's Stealth,3892608176,explicit implicit,Trigger Level {0} Intimidating Cry when you lose Cat's Stealth
3892691596,local_gain_X_rage_on_attack_hit_with_melee_abyss_jewel_socketed,reproduced,,1,ModItemExclusive,RageOnHitWithMeleeAbyssJewelUnique__1,"With a Murderous Eye Jewel Socketed, Melee Attacks grant 1 Rage on Hit",3892691596,explicit,"With a Murderous Eye Jewel Socketed, Melee Attacks grant {0} Rage on Hit"
3893109186,life_leech_from_spell_damage_permyriad_if_shield_has_30%_block_chance,reproduced,,1,ModItemExclusive,LifeLeechFromSpellsWith30BlockOnShieldUnique__1_,0.5% of Spell Damage Leeched as Life if Equipped Shield has at least 30% Chance to Block,3893109186,explicit,{0}% of Spell Damage Leeched as Life if Equipped Shield has at least 30% Chance to Block
3895393544,local_flask_remove_curses_on_use,reproduced,,2,ModFlask,FlaskCurseImmunity1,Removes Curses on use,3895393544,explicit fractured,Removes Curses on use
3896241826,local_display_nearby_enemies_critical_strike_chance_+%_against_self,reproduced,,1,ModItemExclusive,NearbyEnemiesHaveIncreasedChanceToBeCritUnique__2,Hits against Nearby Enemies have 50% increased Critical Strike Chance,3896241826,explicit,Hits against Nearby Enemies have {0}% increased Critical Strike Chance
3897054103,local_treat_treat_enemy_chaos_resistances_as_negated_on_hit,reproduced,,1,ModItemExclusive,LocalTreatChaosResistanceAsInvertedUnique__1,Treats Enemy Monster Chaos Resistance values as inverted,3897054103,explicit,Treats Enemy Monster Chaos Resistance values as inverted
3897433431,local_flask_number_of_additional_curses_allowed_during_effect,reproduced,,1,ModVeiled,JunMasterVeiledLocalFlaskAdditionalCurseOnEnemies,You can apply an additional Curse during Effect,3897433431,explicit,You can apply one fewer Curse during Effect
3898572660,local_affliction_notable_holy_conquest,reproduced,,1,ModJewelCluster,AfflictionNotableHolyConquest,1 Added Passive Skill is Holy Conquest,3898572660,explicit fractured,1 Added Passive Skill is Holy Conquest
3898799092,lose_all_power_charges_on_block,reproduced,,1,ModItemExclusive,LosePowerChargesOnBlockUnique__1,Lose all Power Charges when you Block,3898799092,explicit,Lose all Power Charges when you Block
3898949460,keystone_cold_purist,explained,translation entry has no trade_stats (text join failed); the hash supplies it,2,ModItemExclusive,KeystoneColdPuristUnique__2,Bitter Frost,,explicit,[KeystoneColdPurist|Bitter Frost]
3899352861,maximum_life_mana_and_energy_shield_+%,reproduced,,1,ModItemExclusive,MaximumLifeManaEnergyShieldUnique__1,"(9-21)% increased maximum Life, Mana and Global Energy Shield",3899352861,explicit,"{0}% increased maximum Life, Mana and Global Energy Shield"
3900877792,base_deal_no_physical_damage,reproduced,,2,ModItemExclusive,DealNoPhysicalDamageUniqueBelt14,Deal no Physical Damage,3900877792,explicit fractured scourge,Deal no Physical Damage
3901645945,base_fire_damage_%_to_convert_to_chaos_60%_value,explained,number not in the capture (recipe output the site lacks),2,ModItemExclusive,ConvertFireToChaosUniqueBodyInt4,15% of Fire Damage Converted to Chaos Damage,,not in capture,
3901726941,local_unique_jewel_passives_in_radius_grant_critical_strike_chance_+%,reproduced,,1,ModItemExclusive,UniqueJewelNodeCriticalStrikeChanceUnique__1,Passive Skills in Radius also grant 5% increased Global Critical Strike Chance,3901726941,explicit,Passive Skills in Radius also grant {0}% increased Global Critical Strike Chance
3901992019,local_affliction_notable_arcane_heroism,reproduced,,1,ModJewelCluster,AfflictionNotableArcaneHeroism_,1 Added Passive Skill is Arcane Heroism,3901992019,explicit fractured,1 Added Passive Skill is Arcane Heroism
3903907406,enemy_life_regeneration_rate_+%_for_4_seconds_on_hit,reproduced,,18,ModEldritch,EnemyLifeRegenerationRateEldritchImplicit1,Enemies you've Hit Recently have (65-67)% reduced Life Regeneration rate,3903907406,implicit,Enemies you've Hit Recently have {0}% increased Life Regeneration rate
3904501306,local_display_trigger_level_X_poachers_mark_when_you_hit_rare_or_unique_enemy,reproduced,export text join ambiguous; the hash picks one,2,ModExplicit,CurseOnHitPoachersMarkNewUber1__,Trigger Level 8 Poacher's Mark when you Hit a Rare or Unique Enemy and have no Mark,364728407 2659463225 3904501306,explicit,Trigger Level {0} Poacher's Mark when you Hit a Rare or Unique Enemy and have no Mark
3904970959,local_affliction_notable_insatiable_killer,reproduced,,1,ModJewelCluster,AfflictionNotableInsatiableKiller_,1 Added Passive Skill is Insatiable Killer,3904970959,explicit fractured,1 Added Passive Skill is Insatiable Killer
3905327148,graft_skill_jolt_buff_critical_strike_multiplier_+_to_grant,explained,stat group has no translation entry,3,ModGraft,GraftSuffixJoltGrantsCriticalStrikeMultiplier1,Jolt granted by this Graft grants +(1-2)% to Critical Strike Multiplier,,explicit,
3905661226,damage_while_no_frenzy_charges_+%,reproduced,,1,ModItemExclusive,IncreasedDamageAtNoFrenzyChargesUnique__1,(60-80)% increased Damage while you have no Frenzy Charges,3905661226,explicit,{0}% increased Damage while you have no Frenzy Charges
3906150898,on_leaving_banner_area_recover_%_of_planted_banner_resources,reproduced,,2,ModJewelCharm,AnimalCharmRecoverBannerStagesOnPlacingBanner1,"When you leave your Banner's Area, recover (10-15)% of the Valour consumed for that Banner",3906150898,explicit,"When you leave your Banner's Area, recover {0}% of the Valour consumed for that Banner"
3906868545,body_armour_implicit_gain_frenzy_charge_every_x_ms,reproduced,,18,ModEldritch,FrenzyChargePerSecondEldritchImplicit1,Gain a Frenzy Charge every 15 seconds,3906868545,implicit,Gain a Frenzy Charge every {0} seconds
3907785920,old_do_not_use_mana_leech_from_physical_damage_%,explained,number not in the capture (recipe output the site lacks),11,ModExplicit,ManaLeech1,(1-2)% of Physical Attack Damage Leeched as Mana,,not in capture,
3909846940,local_item_drops_on_death_if_equipped_by_animate_armour,reproduced,,1,ModSynthesis,SynthesisImplicitItemDropsOnDeathAnimateGuardian1_,Item drops on Death if Equipped by an Animated Guardian,3909846940,crafted explicit fractured implicit,Item drops on Death if Equipped by an Animated Guardian
3909952544,gain_chilling_shocking_igniting_conflux_while_affected_by_glorious_madness,reproduced,,2,ModItemExclusive,ElementalConfluxesGloriousMadnessUnique1,"You have Igniting, Chilling and Shocking Conflux while affected by Glorious Madness",3909952544,explicit implicit,"You have Igniting, Chilling and Shocking Conflux while affected by Glorious Madness"
3910756536,unaffected_by_chill_if_2_redeemer_items,reproduced,,1,ModItemExclusive,UnaffectedByChill2RedeemerItemsUnique__1,Unaffected by Chill if 2 Redeemer Items are Equipped,3910756536,explicit,Unaffected by Chill if 2 Redeemer Items are Equipped
3910859570,local_implicit_modifier_magnitudes_tripled,reproduced,,1,ModItemExclusive,LocalTripleImplicitModsUnique__1__,Implicit Modifier magnitudes are tripled,3910859570,explicit,Implicit Modifier magnitudes are tripled
3910961021,herald_of_ice_damage_+%,reproduced,,1,ModItemExclusive,HeraldOfIceDamageUnique__1_,50% increased Herald of Ice Damage,3910961021,enchant explicit,{0}% increased Herald of Ice Damage
3913090641,minion_summoned_recently_critical_strike_chance_+%,reproduced,,1,ModMercenary,MercenaryModRecentMinionCrit,Minions created Recently have (60-100)% increased Critical Hit Chance,3913090641,explicit fractured,Minions created Recently have {0}% increased Critical Hit Chance
3913265126,weapon_physical_damage_%_to_add_as_each_element,reproduced,,4,ModItemExclusive,LocalPhysicalDamageAddedAsEachElementTransformed,Gain 100% of Weapon Physical Damage as Extra Damage of each Element,3913265126,enchant explicit,Gain {0}% of Weapon Physical Damage as Extra Damage of each Element
3913282911,chaos_damage_over_time_multiplier_+_with_attacks,reproduced,,2,ModExplicit,ChaosDamageOverTimeMultiplierQuiverInfluence1__,+(16-20)% to Chaos Damage over Time Multiplier with Attack Skills,3913282911,explicit fractured,{0}% to Chaos Damage over Time Multiplier with Attack Skills
3913835403,minion_base_physical_damage_%_to_convert_to_chaos_per_empty_gem_socket,reproduced,,1,ModItemExclusive,MinionPhysicalToChaosPerEmptySocketUnique__1,Minions convert 25% of Physical Damage to Chaos Damage per Empty Socket,3913835403,explicit,Minions convert {0}% of Physical Damage to Chaos Damage per Empty Socket
3913936991,damage_taken_%_recovered_as_life_from_stunning_hits,reproduced,,1,ModItemExclusive,StunningHitsRecoverLifeUnique__1,(20-30)% of Damage taken from Stunning Hits is Recovered as Life,3913936991,explicit,{0}% of Damage taken from Stunning Hits is Recovered as Life
3913992084,cannot_inflict_status_ailments,reproduced,,1,ModScourge,HellscapeDownsideCannotApplyAilments1___,Cannot inflict Elemental Ailments,3913992084,scourge,Cannot inflict Elemental Ailments
3914001710,local_flask_physical_damage_can_ignite_during_effect,reproduced,,1,ModVeiled,JunMasterVeiledLocalFlaskPhysicalDamageCanIgnite,Your Physical Damage can Ignite during Effect,3914001710,explicit,Your Physical Damage can Ignite during Effect
3914021960,local_display_nearby_enemy_fire_damage_resistance_%,reproduced,,8,ModDelve,DelveHelmetEnemyFireResistanceAura1,Nearby Enemies have -9% to Fire Resistance,3914021960,explicit fractured scourge,Nearby Enemies have {0}% to Fire Resistance
3914638685,critical_strike_chance_+%_if_enemy_killed_recently,reproduced,,5,ModExplicit,CriticalStrikeChanceTwoHandedCritChanceRecentlyUber1_,50% increased Critical Strike Chance if you have Killed Recently,3914638685,explicit fractured,{0}% increased Critical Strike Chance if you have Killed Recently
3914740665,local_display_grants_skill_bird_aspect_level,reproduced,,4,ModExplicit,GrantsBirdAspectCrafted,Grants Level 20 Aspect of the Avian Skill,3914740665,explicit fractured implicit,Grants Level {0} Aspect of the Avian Skill
3915702459,gain_x_life_when_endurance_charge_expires_or_consumed,reproduced,,2,ModItemExclusive,LifeGainOnEndurangeChargeConsumptionUniqueBodyStrInt6,Gain 100 Life when you lose an Endurance Charge,3915702459,explicit implicit,Gain {0} Life when you lose an Endurance Charge
3916499001,local_flask_gain_endurance_charge_per_second_during_flask_effect,reproduced,,1,ModItemExclusive,FlaskEnduranceChargePerSecondUnique1,Gain 1 Endurance Charge per Second during Effect,3916499001,explicit,Gain 1 Endurance Charge per Second during Effect
3916799917,cold_damage_%_to_add_as_chaos_per_frenzy_charge,reproduced,,1,ModItemExclusive,ChargeBonusColdDamageAddedAsChaos,Gain 1% of Cold Damage as Extra Chaos Damage per Frenzy Charge,3916799917,explicit,Gain {0}% of Cold Damage as Extra Chaos Damage per Frenzy Charge
3916980068,maximum_es_+%_per_equipped_corrupted_item,reproduced,,1,ModItemExclusive,MaximumEnergyShieldPercentPerCorruptedItemUnique__1_,8% increased Maximum Energy Shield for each Corrupted Item Equipped,3916980068,explicit,{0}% increased Maximum Energy Shield for each Corrupted Item Equipped
3917489142,base_item_found_rarity_+%,reproduced,,68,ModCorrupted,V2ItemRarityCorrupted_,(20-30)% increased Rarity of Items found,3917489142,crafted explicit fractured implicit scourge,{0}% increased Rarity of Items found
3918947537,local_display_cast_cold_aegis_on_gain_skill,reproduced,,2,ModItemExclusive,TriggeredColdAegisSkillUnique__1,Triggers Level 20 Cold Aegis when Equipped,3918947537,explicit implicit,Triggers Level {0} Cold Aegis when Equipped
3919199754,unarmed_damage_+%_vs_bleeding_enemies,explained,number not in the capture (recipe output the site lacks),1,ModItemExclusive,UnarmedDamageVsBleedingEnemiesUnique__1,100% increased Damage with Unarmed Attacks against Bleeding Enemies,,not in capture,
3919557483,burning_damage_+%_if_ignited_an_enemy_recently,reproduced,,1,ModItemExclusive,IncreasedBurningDamageIfYouHaveIgnitedRecentlyUnique__1,100% increased Burning Damage if you've Ignited an Enemy Recently,3919557483,explicit,{0}% increased Burning Damage if you've Ignited an Enemy Recently
3922006600,local_display_socketed_gems_get_blood_magic_level,reproduced,,1,ModItemExclusive,HungryLoopSupportedByBloodMagic,Socketed Gems are Supported by Level 20 Arrogance,3922006600,crafted explicit implicit,Socketed Gems are Supported by Level {0} Arrogance
3923274300,chilling_areas_also_grant_lightning_damage_taken_+%,reproduced,,1,ModItemExclusive,ChillingAreasAlsoGrantLightningDamageTakenUnique__1,Enemies in your Chilling Areas take (25-35)% increased Lightning Damage,3923274300,explicit,Enemies in your Chilling Areas take {0}% increased Lightning Damage
3924520095,local_display_trigger_level_X_assassins_mark_when_you_hit_rare_or_unique_enemy,reproduced,export text join ambiguous; the hash picks one,4,ModExplicit,CurseOnHitAssassinsMarkNewUber1,Trigger Level 8 Assassin's Mark when you Hit a Rare or Unique Enemy and have no Mark,3382957283 3924520095,explicit implicit,Trigger Level {0} Assassin's Mark when you Hit a Rare or Unique Enemy and have no Mark
3924539382,local_display_socketed_gems_supported_by_level_x_efficacy,reproduced,,4,ModExplicit,SpellDamageOnWeaponEfficacyUber1_,Socketed Gems are Supported by Level 16 Efficacy,3924539382,explicit fractured,Socketed Gems are Supported by Level {0} Efficacy
3925004212,enemy_life_leech_from_lightning_damage_permyriad,reproduced,,2,ModDelve,LightningDamageLifeLeechDelveInverted,0.4% of Lightning Damage Leeched by Enemy as Life,3925004212,explicit fractured,{0}% of Lightning Damage Leeched by Enemy as Life
3927388937,killed_enemies_apply_impale_damage_to_nearby_enemies_on_death_%_chance,reproduced,,2,ModItemExclusive,EnemiesKilledApplyImpaleDamageUnique__1,50% chance for Impales on Enemies you Kill to Reflect Damage to surrounding Enemies,3927388937,explicit implicit,{0}% chance for Impales on Enemies you Kill to Reflect Damage to surrounding Enemies
3930242735,local_affliction_notable_confident_combatant,reproduced,,1,ModJewelCluster,AfflictionNotableConfidentCombatant,1 Added Passive Skill is Confident Combatant,3930242735,explicit fractured,1 Added Passive Skill is Confident Combatant
3931143552,local_unique_jewel_fire_resistance_also_grants_block_chance_scaled_%,reproduced,,1,ModItemExclusive,FireResistConvertedToBlockChanceScaledJewelUnique__1_,Passives granting Fire Resistance or all Elemental Resistances in Radius / also grant Chance to Block Attack Damage at 50% of its value,3931143552,explicit,Passives granting Fire Resistance or all Elemental Resistances in Radius\nalso grant Chance to Block Attack Damage at {0}% of its value
3933226405,local_flask_inflict_fire_cold_lightning_exposure_on_nearby_enemies_on_use,reproduced,,1,ModItemExclusive,FlaskFireColdLightningExposureOnNearbyEnemiesUnique1,"Inflict Fire, Cold and Lightning Exposure on nearby Enemies when used",3933226405,explicit,"Inflict Fire, Cold and Lightning Exposure on nearby Enemies when used"
